Isolate,County,City,State,Region,Fungicide_History,Year,Species
Czm_20_1,Allen,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_6,Bartholomew,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_7,Blackford,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_10,Brown,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_13,Cass,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_15,Hancock,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_16,Newton,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_17,Parke,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_18,Pike,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_19,Koskiosko,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_22,Laporte,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_25,Marion,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_26,Marshall,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_31,Monroe,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_32,Fountain,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_35,Delaware,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_36,Spencer,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_40,Franklin,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_41,Gibson,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_55,Ripley,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_56,Scott,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_59,St. Joseph,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_60,Steuben,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_62,Tippecanoe,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_65,Tipton,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_66,Vermillion,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_70,Carroll,,IN,Midwest,,2020,C. zeae-maydis
Czm_20_72,,Westover,MD,Northeast,,2020,C. zeae-maydis
Czm_20_73,,Westover,MD,Northeast,,2020,C. zeae-maydis
Czm_20_74,,Westover,MD,Northeast,,2020,C. zeae-maydis
Czm_20_75,,Westover,MD,Northeast,,2020,C. zeae-maydis
Czm_20_76,,Westover,MD,Northeast,,2020,C. zeae-maydis
Czm_20_77,,Westover,MD,Northeast,,2020,C. zeae-maydis
Czm_20_78,,Kennedyville,MD,Northeast,,2020,C. zeae-maydis
Czm_20_79,,Kennedyville,MD,Northeast,,2020,C. zeae-maydis
Czm_20_80,,Rock Hall,MD,Northeast,,2020,C. zeae-maydis
Czm_20_81,,Rock Hall,MD,Northeast,,2020,C. zeae-maydis
Czm_20_82,,Manheim,PA,Northeast,,2020,C. zeae-maydis
Czm_20_85,,Plainview,NE,Midwest,,2020,C. zeae-maydis
Czm_20_86,,Troy,OH,Midwest,No,2020,C. zeae-maydis
Czm_20_87,,Pargon,IL,Midwest,,2020,C. zeae-maydis
Czm_20_88,,Celina,OH,Midwest,,2020,C. zeae-maydis
Czm_20_89,,Ottawa,MI,Midwest,,2020,C. zeae-maydis
Czm_20_90,,Warwick,MD,Northeast,,2020,C. zeae-maydis
Czm_20_91,,Dallas Center,IA,Midwest,,2020,C. zeae-maydis
Czm_20_92,,Hershey,PA,Northeast,,2020,C. zeae-maydis
Czm_20_93,,Christiana,PA,Northeast,,2020,C. zeae-maydis
Czm_20_94,,Elkton,MD,Northeast,No,2020,C. zeae-maydis
Czm_20_95,,Ackley,IA,Midwest,No,2020,C. zeae-maydis
Czm_20_96,,Whitestown,IL,Midwest,No,2020,C. zeae-maydis
Czm_20_97,,Branch,MI,Midwest,,2020,C. zeae-maydis
Czm_20_98,,Montcalm,MI,Midwest,,2020,C. zeae-maydis
Czm_20_99,,Lenawee,MI,Midwest,,2020,C. zeae-maydis
Czm_20_100,,Saint Henry,OH,Midwest,No,2020,C. zeae-maydis
Czm_20_101,,Troy,OH,Midwest,No,2020,C. zeae-maydis
Czm_20_102,,Town Creek,AL,Southeast,,2020,C. zeae-maydis
Czm_20_103,,Effingham,IL,Midwest,,2020,C. zeae-maydis
Czm_20_104,,Altamont,IL,Midwest,,2020,C. zeae-maydis
Czm_20_105,,East lansing ,MI,Midwest,,2020,C. zeae-maydis
Czm_20_106,,Osgood,OH,Midwest,No,2020,C. zeae-maydis
Czm_20_107,,Friendship,TN,Southeast,,2020,C. zeae-maydis
Czm_21_1,,Dieterich,IL,Midwest,,2021,C. zeae-maydis
Czm_21_4,,Lawrenceville,IL,Midwest,,2021,C. zeae-maydis
Czm_21_11,,Fayette,KY,Southeast,,2021,C. zeae-maydis
Czm_21_13,,Gibson City,IL,Midwest,,2021,C. zeae-maydis
Czm_21_18,,Shiwwassee,MI,Midwest,,2021,C. zeae-maydis
Czm_21_19,,Shiwwassee,MI,Midwest,,2021,C. zeae-maydis
Czm_21_20,,Shiwwassee,MI,Midwest,,2021,C. zeae-maydis
Czm_21_21,,Shiwwassee,MI,Midwest,,2021,C. zeae-maydis
Czm_21_22,,Shiwwassee,MI,Midwest,,2021,C. zeae-maydis
Czm_21_23,,Topeka,KS,Midwest,Flutriafol,2021,C. zeae-maydis
Czm_21_24,,Topeka,KS,Midwest,Flutriafol,2021,C. zeae-maydis
Czm_21_25,,Topeka,KS,Midwest,Flutriafol,2021,C. zeae-maydis
Czm_21_26,,Topeka,KS,Midwest,Flutriafol,2021,C. zeae-maydis
Czm_21_27,,Topeka,KS,Midwest,Flutriafol,2021,C. zeae-maydis
Czm_21_28,,Topeka,KS,Midwest,Flutriafol,2021,C. zeae-maydis
Czm_21_29,,Topeka,KS,Midwest,Flutriafol,2021,C. zeae-maydis
Czm_21_31,,Aloha,IL,Midwest,,2021,C. zeae-maydis
Czm_21_32,,Moro,IL,Midwest,,2021,C. zeae-maydis
Czm_21_33,,Williamsport,IL,Midwest,,2021,C. zeae-maydis
Czm_21_34,,West Salem,IL,Midwest,,2021,C. zeae-maydis
Czm_21_35,,Hamilton,MI,Midwest,,2021,C. zeae-maydis
Czm_21_36,,Decatur,MI,Midwest,,2021,C. zeae-maydis
Czm_21_37,St. Joseph,,MI,Midwest,,2021,C. zeae-maydis
Czm_21_38,,Zeeland,MI,Midwest,,2021,C. zeae-maydis
Czm_21_39,,Avon,NY,Northeast,,2021,C. zeae-maydis
Czm_21_40,,Selinsgrove,PA,Northeast,,2021,C. zeae-maydis
Czm_21_41,,Berrysburg,PA,Northeast,,2021,C. zeae-maydis
Czm_21_42,,High Hill,NY,Northeast,No,2021,C. zeae-maydis
Czm_21_43,,Charlotte,MI,Midwest,,2021,C. zeae-maydis
Czm_21_44,,,KS,Midwest,,2021,C. zeae-maydis
Czm_21_45,,Decatur,MI,Midwest,,2021,C. zeae-maydis
Czm_21_46,,Decatur,MI,Midwest,,2021,C. zeae-maydis
Czm_21_47,,Decatur,MI,Midwest,,2021,C. zeae-maydis
Czm_21_48,,Zeeland,MI,Midwest,,2021,C. zeae-maydis
Czm_21_49,,Zeeland,MI,Midwest,,2021,C. zeae-maydis
Czm_21_50,,Rossville,KS,Midwest,No,2021,C. zeae-maydis
Czm_21_51,,Rossville,KS,Midwest,No,2021,C. zeae-maydis
Czm_21_52,,Rossville,KS,Midwest,No,2021,C. zeae-maydis
Czm_21_53,,Immon,KS,Midwest,Other,2021,C. zeae-maydis
Czm_21_54,,Immon,KS,Midwest,Other,2021,C. zeae-maydis
Czm_21_55,,Immon,KS,Midwest,Other,2021,C. zeae-maydis
Czm_21_56,,Colwich,KS,Midwest,,2021,C. zeae-maydis
Czm_21_57,,Colwich,KS,Midwest,,2021,C. zeae-maydis
Czm_21_58,,Colwich,KS,Midwest,,2021,C. zeae-maydis
Czm_21_61,,Hershey,PA,Northeast,,2021,C. zeae-maydis
Czm_21_62,,Marytown,PA,Northeast,,2021,C. zeae-maydis
Czm_21_64,,Mt. Joy,PA,Northeast,,2021,C. zeae-maydis
Czm_21_67,,Landisville,PA,Northeast,,2021,C. zeae-maydis
Czm_21_69,,Avon,NY,Northeast,,2021,C. zeae-maydis
Czm_21_70,,Avon,NY,Northeast,,2021,C. zeae-maydis
Czm_21_72,,High Hill,NY,Northeast,,2021,C. zeae-maydis
Czm_21_73,,High Hill,NY,Northeast,,2021,C. zeae-maydis
Czm_21_74,,High Hill,NY,Northeast,,2021,C. zeae-maydis
Czm_21_75,,,KS,Midwest,,2021,C. zeae-maydis
Czm_21_76,,,KS,Midwest,,2021,C. zeae-maydis
Czm_21_77,,,KS,Midwest,,2021,C. zeae-maydis
Czm_21_79,,Le Roy,IL,Midwest,,2021,C. zeae-maydis
Czm_21_80,,Champaign,IL,Midwest,,2021,C. zeae-maydis
Czm_21_82,,Tolono,IL,Midwest,,2021,C. zeae-maydis
Czm_21_83,,Roanoke,IL,Midwest,,2021,C. zeae-maydis
Czm_21_86,,Mt Vernon,IL,Midwest,,2021,C. zeae-maydis
Czm_21_87,,Shelbyville,IL,Midwest,,2021,C. zeae-maydis
Czm_21_89,,Cowl City,IL,Midwest,,2021,C. zeae-maydis
Czm_21_91,,Villa Grove,IL,Midwest,,2021,C. zeae-maydis
Czm_21_93,,Clay City,IL,Midwest,,2021,C. zeae-maydis
Czm_21_95,,Adair,KY,Southeast,Other,2021,C. zeae-maydis
Czm_21_96,Kosckiosko,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_97,,Campbelltown,PA,Northeast,,2021,C. zeae-maydis
Czm_21_98,Martin,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_99,Randolph,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_100,Decatur,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_101,Hancock,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_102,Fayette,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_103,Ohio,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_104,White,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_105,Orange,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_106,Fountain,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_108,Lawrence,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_109,Warren,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_110,Dekalb,,IN,Midwest,,2021,C. zeae-maydis
