Isolate,Date,MIC_ppm
Czm_20_1,4/28/2022,5
Czm_20_6,4/28/2022,2.5
Czm_20_7,4/28/2022,5
Czm_20_10,4/28/2022,5
Czm_20_13,4/28/2022,2.5
Czm_20_15,4/28/2022,5
Czm_20_16,6/16/2022,2.5
Czm_20_17,4/28/2022,2.5
Czm_20_18,4/28/2022,5
Czm_20_19,5/26/2022,2.5
Czm_20_22,4/28/2022,2.5
Czm_20_25,4/28/2022,10
Czm_20_26,4/28/2022,1
Czm_20_31,4/28/2022,2.5
Czm_20_32,4/28/2022,5
Czm_20_35,4/28/2022,5
Czm_20_36,4/28/2022,1
Czm_20_40,5/12/2022,1
Czm_20_41,5/12/2022,10
Czm_20_55,5/12/2022,2.5
Czm_20_56,5/12/2022,2.5
Czm_20_59,5/12/2022,5
Czm_20_60,4/28/2022,5
Czm_20_62,5/12/2022,2.5
Czm_20_65,4/28/2022,1
Czm_20_66,4/28/2022,5
Czm_20_70,4/28/2022,2.5
Czm_20_72,4/28/2022,2.5
Czm_20_73,4/28/2022,2.5
Czm_20_74,4/28/2022,5
Czm_20_75,4/28/2022,5
Czm_20_76,7/7/2022,2.5
Czm_20_77,4/28/2022,2.5
Czm_20_78,4/28/2022,2.5
Czm_20_79,4/28/2022,2.5
Czm_20_80,4/28/2022,5
Czm_20_81,4/28/2022,5
Czm_20_82,4/28/2022,5
Czm_20_85,4/28/2022,2.5
Czm_20_86,4/28/2022,5
Czm_20_87,4/28/2022,2.5
Czm_20_88,4/28/2022,5
Czm_20_89,4/28/2022,2.5
Czm_20_90,5/5/2022,2.5
Czm_20_91,5/5/2022,2.5
Czm_20_92,5/5/2022,5
Czm_20_93,5/5/2022,2.5
Czm_20_94,5/5/2022,5
Czm_20_95,5/5/2022,5
Czm_20_96,6/23/2022,2.5
Czm_20_97,5/5/2022,2.5
Czm_20_98,5/5/2022,2.5
Czm_20_99,5/5/2022,2.5
Czm_20_100,5/5/2022,2.5
Czm_20_101,5/5/2022,1
Czm_20_102,5/5/2022,5
Czm_20_103,5/5/2022,2.5
Czm_20_104,6/16/2022,5
Czm_20_105,5/5/2022,5
Czm_20_106,5/12/2022,2.5
Czm_20_107,5/5/2022,5
Czm_21_1,4/14/2022,2.5
Czm_21_4,4/14/2022,2.5
Czm_21_11,4/14/2022,2.5
Czm_21_13,4/14/2022,1
Czm_21_18,4/14/2022,1
Czm_21_19,4/14/2022,1
Czm_21_20,4/14/2022,1
Czm_21_21,5/12/2022,5
Czm_21_22,4/14/2022,2.5
Czm_21_23,4/14/2022,1
Czm_21_24,4/14/2022,2.5
Czm_21_25,5/12/2022,2.5
Czm_21_26,5/12/2022,1
Czm_21_27,4/14/2022,2.5
Czm_21_28,4/14/2022,1
Czm_21_29,4/14/2022,2.5
Czm_21_31,4/14/2022,1
Czm_21_32,4/14/2022,2.5
Czm_21_33,4/14/2022,2.5
Czm_21_34,5/12/2022,5
Czm_21_35,4/14/2022,1
Czm_21_36,4/14/2022,2.5
Czm_21_37,4/14/2022,1
Czm_21_38,4/14/2022,2.5
Czm_21_39,4/14/2022,5
Czm_21_40,4/14/2022,2.5
Czm_21_41,4/14/2022,5
Czm_21_42,4/14/2022,5
Czm_21_43,4/14/2022,1
Czm_21_44,4/14/2022,1
Czm_21_45,4/14/2022,2.5
Czm_21_46,4/14/2022,2.5
Czm_21_47,4/14/2022,2.5
Czm_21_48,4/28/2022,2.5
Czm_21_50,4/14/2022,2.5
Czm_21_51,4/14/2022,2.5
Czm_21_52,4/28/2022,5
Czm_21_53,4/14/2022,2.5
Czm_21_54,4/14/2022,2.5
Czm_21_55,5/26/2022,2.5
Czm_21_56,4/14/2022,2.5
Czm_21_57,4/14/2022,1
Czm_21_61,4/28/2022,2.5
Czm_21_62,5/5/2022,2.5
Czm_21_64,4/14/2022,1
Czm_21_67,4/21/2022,1
Czm_21_69,4/14/2022,1
Czm_21_70,4/28/2022,2.5
Czm_21_72,6/16/2022,5
Czm_21_73,3/31/2022,2.5
Czm_21_74,4/14/2022,2.5
Czm_21_75,7/7/2022,1
Czm_21_76,3/31/2022,2.5
Czm_21_77,3/31/2022,2.5
Czm_21_79,3/31/2022,5
Czm_21_80,3/31/2022,10
Czm_21_82,3/31/2022,5
Czm_21_83,3/31/2022,5
Czm_21_86,3/31/2022,2.5
Czm_21_87,3/31/2022,2.5
Czm_21_89,3/31/2022,1
Czm_21_91,4/7/2022,2.5
Czm_21_93,3/31/2022,5
Czm_21_95,3/31/2022,2.5
Czm_21_96,3/31/2022,1
Czm_21_97,3/31/2022,2.5
Czm_21_98,3/31/2022,1
Czm_21_99,3/31/2022,5
Czm_21_100,3/31/2022,5
Czm_21_101,3/31/2022,2.5
Czm_21_102,3/31/2022,2.5
Czm_21_103,3/31/2022,5
Czm_21_104,3/31/2022,2.5
Czm_21_105,3/31/2022,2.5
Czm_21_106,3/31/2022,2.5
Czm_21_108,3/31/2022,2.5
Czm_21_109,3/31/2022,5
Czm_21_110,3/31/2022,5
Czm_21_111,3/31/2022,5
Czm_21_112,3/31/2022,2.5
Czm_21_113,3/31/2022,5
Czm_21_114,3/31/2022,2.5
Czm_21_115,3/31/2022,2.5
Czm_21_116,3/31/2022,2.5
Czm_21_117,3/31/2022,2.5
Czm_21_118,3/31/2022,1
Czm_21_119,3/31/2022,2.5
Czm_21_120,3/31/2022,2.5
Czm_21_121,3/31/2022,2.5
Czm_21_122,3/31/2022,2.5
Czm_21_123,3/31/2022,2.5
Czm_21_124,3/31/2022,2.5
Czm_21_125,3/31/2022,2.5
Czm_21_126,3/31/2022,2.5
Czm_21_127,3/31/2022,2.5
Czm_21_128,3/31/2022,2.5
Czm_21_129,3/31/2022,10
Czm_21_130,6/23/2022,5
Czm_21_132,4/7/2022,2.5
Czm_21_133,4/7/2022,1
Czm_21_134,4/7/2022,>20
Czm_21_135,4/7/2022,2.5
Czm_21_137,4/7/2022,1
Czm_21_138,4/7/2022,1
Czm_21_139,4/7/2022,2.5
Czm_21_141,4/7/2022,2.5
Czm_21_142,4/7/2022,1
Czm_21_144,4/7/2022,2.5
Czm_21_145,4/7/2022,2.5
Czm_21_146,4/7/2022,2.5
Czm_21_147,4/7/2022,2.5
Czm_21_154,4/7/2022,>20
Czm_21_155,4/7/2022,2.5
