"","Estimate","StdError","LowerBound","UpperBound","Isolate"
"e:1:50",0.169376329339122,0.0464852466882548,0.0702953714102073,0.268457287268037,"Czm_20_1"
"e:1:501",0.333285896661634,0.0376974416893088,0.252935701704191,0.413636091619078,"Czm_20_10"
"e:1:502",0.568629640157368,0.12020235229883,0.31242439097481,0.824834889339926,"Czm_20_100"
"e:1:503",0.301423792409753,0.249711865082988,-0.230824448942265,0.833672033761771,"Czm_20_101"
"e:1:504",0.640716902603407,0.177607680579451,0.262155092544411,1.0192787126624,"Czm_20_102"
"e:1:505",0.0190632427402299,0.0174990090107416,-0.0182350120634616,0.0563614975439214,"Czm_20_103"
"e:1:506",0.608770756695904,0.0846593486680967,0.428323626449903,0.789217886941906,"Czm_20_104"
"e:1:507",0.77844712658801,0.240097232354302,0.266691989796273,1.29020226337975,"Czm_20_105"
"e:1:508",0.290527332363473,0.0275035699270375,0.231904860741218,0.349149803985728,"Czm_20_106"
"e:1:509",0.936123068480237,0.304117188044164,0.287912626226587,1.58433351073389,"Czm_20_107"
"e:1:5010",0.286102343929159,0.0469182769933929,0.186098403753144,0.386106284105174,"Czm_20_13"
"e:1:5011",0.411135830428466,0.0394620610213479,0.327024438397662,0.49524722245927,"Czm_20_15"
"e:1:5012",0.396308384962538,0.0247012245904078,0.343658971034544,0.448957798890533,"Czm_20_16"
"e:1:5013",0.152633535275597,0.0192178113205621,0.111671740069731,0.193595330481463,"Czm_20_17"
"e:1:5014",0.097578712336834,0.0310854811471666,0.0313215776721989,0.163835847001469,"Czm_20_18"
"e:1:5015",0.626575901221284,0.0587986152772058,0.501249619409139,0.751902183033428,"Czm_20_19"
"e:1:5016",0.149400001649672,0.0322799543582223,0.0805969076021491,0.218203095697195,"Czm_20_22"
"e:1:5017",0.513587965931762,0.0368164744079933,0.435115508285731,0.592060423577792,"Czm_20_25"
"e:1:5018",0.174232750561329,0.0210912897706102,0.129277730564492,0.219187770558166,"Czm_20_26"
"e:1:5019",0.252767290483573,0.0928777510947965,0.0548030501199554,0.450731530847191,"Czm_20_31"
"e:1:5020",0.552354117297642,0.0631591135078951,0.417733653513281,0.686974581082003,"Czm_20_32"
"e:1:5021",0.396035419526194,0.169542793446573,0.0346635094815605,0.757407329570828,"Czm_20_35"
"e:1:5022",0.194703330450193,0.0515901407510804,0.0847415483909374,0.304665112509448,"Czm_20_36"
"e:1:5023",0.223442165458321,0.0468896057176864,0.123499336659882,0.323384994256761,"Czm_20_40"
"e:1:5024",0.368047557418287,0.0847174678276032,0.187476549116167,0.548618565720407,"Czm_20_41"
