"","Estimate","StdError","LowerBound","UpperBound","Isolate","Set"
"e:1:50",0.495409884457226,0.0598548024236321,0.367832393031805,0.622987375882647,"Czm_20_55",1
"e:1:501",0.128715331772598,0.0196276056959487,0.0868800805315417,0.170550583013654,"Czm_20_56",1
"e:1:502",0.173201288899752,0.0225565509236089,0.12512313868423,0.221279439115275,"Czm_20_65",1
"e:1:503",0.380383225614381,0.109648579121947,0.146672811473631,0.614093639755131,"Czm_20_66",1
"e:1:504",0.405169322055035,0.109960206026788,0.170794690889579,0.639543953220492,"Czm_20_70",1
"e:1:505",0.218473189128965,0.0284822630555143,0.157764682482775,0.279181695775155,"Czm_20_72",1
"e:1:506",0.532760229063789,0.0838032008867754,0.354137934617217,0.711382523510361,"Czm_20_73",1
"e:1:507",0.548762820360446,0.0293053105902498,0.48630002942037,0.611225611300522,"Czm_20_74",1
"e:1:508",0.20066119552364,0.0168678416429287,0.164708242119245,0.236614148928035,"Czm_20_90",1
"e:1:509",0.326636524157252,0.0972560515786435,0.119340157217014,0.53393289109749,"Czm_20_91",1
"e:1:5010",0.242889506779554,0.0448829748174613,0.147223710501505,0.338555303057603,"Czm_20_92",1
"e:1:5011",0.146089218152961,0.0259003438615497,0.0908839419994186,0.201294494306503,"Czm_20_93",1
"e:1:5012",0.710240717217442,0.0607885918547861,0.580672900733339,0.839808533701544,"Czm_20_94",1
"e:1:5013",0.468431882772673,0.0650525200416076,0.32977571849247,0.607088047052875,"Czm_20_95",1
"e:1:5014",0.501411994367115,0.0817435019893144,0.327179844199526,0.675644144534703,"Czm_21_100",1
"e:1:5015",0.278506461347755,0.0248947160936411,0.225444630043124,0.331568292652386,"Czm_21_101",1
"e:1:5016",0.37125540484574,0.0360085100402973,0.294505082484063,0.448005727207416,"Czm_21_132",1
"e:1:5017",0.11034198085804,0.0385789968992249,0.0281127954490356,0.192571166267045,"Czm_21_133",1
"e:1:5018",0.908141063274293,0.0726620150856973,0.753265644240426,1.06301648230816,"Czm_21_134",1
"e:1:5019",0.290603677137547,0.0477419141175401,0.188844195987562,0.392363158287531,"Czm_21_135",1
"e:1:5020",0.114154966668081,0.0339098882773801,0.0418777507092765,0.186432182626886,"Czm_21_137",1
"e:1:5021",0.168032350379644,0.0302865694616022,0.103478055664147,0.23258664509514,"Czm_21_138",1
"e:1:5022",0.289674681104898,0.0419660144271936,0.200226238725102,0.379123123484695,"Czm_21_218",1
"e:1:5023",0.219156733545769,0.0310833682561378,0.152904102401757,0.285409364689781,"Czm_21_219",1
"e:1:5024",0.182903174125146,0.0205646949960931,0.139070564321148,0.226735783929144,"Czm_21_220",1
"e:1:5025",0.132510484593557,0.0597182783161114,0.00522398741506952,0.259796981772045,"Czm_21_221",1
"e:1:5026",0.164645486765978,0.0302203775830046,0.100232276700038,0.229058696831918,"Czm_21_222",1
"e:1:5027",0.202215656073533,0.0582739169042539,0.0780077423699728,0.326423569777093,"Czm_21_223",1
"e:1:5028",0.1398137133366,0.0155340788311233,0.106703608071312,0.172923818601887,"Czm_21_35",1
"e:1:5029",0.466770268956399,0.0529523046580063,0.353905103256749,0.579635434656049,"Czm_21_36",1
"e:1:5030",0.225888032114983,0.0408703533439528,0.138774936053147,0.313001128176818,"Czm_21_37",1
"e:1:5031",0.352948105845208,0.0537845712981326,0.238309005793676,0.46758720589674,"Czm_21_38",1
"e:1:5032",0.377789398501827,0.0327037630510281,0.308082977608619,0.447495819395036,"Czm_21_39",1
"e:1:5033",0.2947387635942,0.0363222383390907,0.217319745192632,0.372157781995769,"Czm_21_40",1
"e:1:5034",0.311675581916425,0.0582649259297272,0.187486832021434,0.435864331811416,"Czm_21_96",1
"e:1:5035",0.131647271280681,0.0326981322025349,0.0619528522569346,0.201341690304428,"Czm_21_97",1
"e:1:5036",0.463489161663582,0.252625998349751,-0.0749704077155799,1.00194873104274,"Czm_21_98",1
"e:1:5037",0.0450550780569541,0.0295239933802007,-0.0178738242163844,0.107983980330293,"Czm_21_99",1
"e:1:5038",0.981776910769352,0.135709777560338,0.692518367060352,1.27103545447835,"GLS_20_70",1
"e:1:5039",0.847261882221352,0.168304230509978,0.488529906585072,1.20599385785763,"GLS_20_72",1
"e:1:5040",1.48033991226985,0.301304023550047,0.838125588198767,2.12255423634092,"GLS_20_75",1
"e:1:5041",3.2319678764835,0.2706113354934,2.65517346842277,3.80876228454423,"GLS_20_79",1
"e:1:5042",2.19119533741296,0.172313332126045,1.82391816395901,2.5584725108669,"GLS_21_244A",1
"e:1:5043",0.555454376441481,0.0641917985442359,0.418632796605705,0.692275956277258,"GLS_21_245A",1
"e:1:5044",5.97438698582988,0.781005534310687,4.30971309464369,7.63906087701606,"GLS_21_254",1
"e:1:5045",2.59775400766538,0.270330602974803,2.02155796680383,3.17395004852692,"GLS_21_256",1
"e:1:5046",0.512347166685303,0.0735288553077951,0.355624121453972,0.669070211916633,"Czm_20_55",2
"e:1:50110",0.140494301783903,0.0259571571592114,0.0851679309528782,0.195820672614928,"Czm_20_56",2
"e:1:50210",0.20340431315117,0.0241952295634304,0.151833402093482,0.254975224208858,"Czm_20_65",2
"e:1:50310",0.314510539564499,0.0494334871279991,0.20914555589009,0.419875523238908,"Czm_20_66",2
"e:1:5047",0.226629957612625,0.0985102649844671,0.0166602980785092,0.43659961714674,"Czm_20_70",2
"e:1:5051",0.105119025822096,0.0116843389368114,0.0802144469050629,0.130023604739129,"Czm_20_72",2
"e:1:5061",0.43443128555218,0.0604311669438056,0.305625302232159,0.563237268872202,"Czm_20_73",2
"e:1:5071",0.178222172864664,0.0599781107790294,0.0503818559011678,0.30606248982816,"Czm_20_74",2
"e:1:5081",0.206926387167426,0.0167059975995505,0.171318396175742,0.242534378159111,"Czm_20_90",2
"e:1:5091",0.192731045828937,0.071795392989,0.0397027880692478,0.345759303588627,"Czm_20_91",2
"e:1:50101",0.630994975272497,0.135902057854156,0.341326595818618,0.920663354726377,"Czm_20_92",2
"e:1:50111",0.104477123526268,0.044782618778711,0.00902523108140825,0.199929015971129,"Czm_20_93",2
"e:1:50121",0.703137683475717,0.0928702652337032,0.505189398847325,0.90108596810411,"Czm_20_94",2
"e:1:50131",0.571033721242691,0.11109178554645,0.334247185424287,0.807820257061096,"Czm_20_95",2
"e:1:50141",0.777818187859959,0.119977239376111,0.522092755514231,1.03354362020569,"Czm_21_100",2
"e:1:50151",0.245822665767782,0.0964140826382645,0.0403209131428907,0.451324418392673,"Czm_21_101",2
"e:1:50161",0.611622880332034,0.0560918675965884,0.492065894633686,0.731179866030381,"Czm_21_132",2
"e:1:50171",0.176199135522442,0.0706091051363352,0.0256993904672179,0.326698880577666,"Czm_21_133",2
"e:1:50181",1.10889998656589,0.180820669283057,0.723489853194703,1.49431011993707,"Czm_21_134",2
"e:1:50191",0.772206393892399,0.104785505706015,0.548861375374063,0.995551412410736,"Czm_21_135",2
"e:1:50201",0.33744191905601,0.0520291022052223,0.226544512804806,0.448339325307214,"Czm_21_137",2
