"","Isolate","Set","rep","ppm","one","two","average_length","avgC","relative"
"1","Czm_20_1","1",1,0,8.08,7.14,6.61,8.9525,0.738341245462161
"2","Czm_20_1","1",1,0.01,10.51,10.92,9.715,8.9525,1.0851717397375
"3","Czm_20_1","1",1,0.1,6.79,6.77,5.78,8.9525,0.645629712370846
"4","Czm_20_1","1",1,0.5,2.43,2.16,1.295,8.9525,0.144652331750908
"5","Czm_20_1","1",1,1,1.74,1.76,0.75,8.9525,0.0837754817090198
"6","Czm_20_1","1",1,2.5,2.17,1.78,0.975,8.9525,0.108908126221726
"7","Czm_20_1","1",1,5,1,1,0,8.9525,0
"8","Czm_20_1","1",1,10,1,1,0,8.9525,0
"9","Czm_20_1","1",1,20,1,1,0,8.9525,0
"10","Czm_20_1","1",2,0,12.96,11.63,11.295,8.9525,1.26165875453784
"11","Czm_20_1","1",2,0.01,7.49,7.39,6.44,8.9525,0.719352136274783
"12","Czm_20_1","1",2,0.1,7.43,7.46,6.445,8.9525,0.719910639486177
"13","Czm_20_1","1",2,0.5,2.76,2.61,1.685,8.9525,0.188215582239598
"14","Czm_20_1","1",2,1,1.3,1.29,0.295,8.9525,0.0329516894722145
"15","Czm_20_1","1",2,2.5,1.58,1.39,0.485,8.9525,0.0541748115051661
"16","Czm_20_1","1",2,5,1,1,0,8.9525,0
"17","Czm_20_1","1",2,10,1,1,0,8.9525,0
"18","Czm_20_1","1",2,20,1,1,0,8.9525,0
"19","Czm_20_10","1",1,0,7.12,7.36,6.24,6.0275,1.0352550808793
"20","Czm_20_10","1",1,0.01,7.13,7.84,6.485,6.0275,1.07590211530485
"21","Czm_20_10","1",1,0.1,6.85,6.56,5.705,6.0275,0.94649523019494
"22","Czm_20_10","1",1,0.5,2.54,2.73,1.635,6.0275,0.271256739941933
"23","Czm_20_10","1",1,1,2.27,2.66,1.465,6.0275,0.24305267523849
"24","Czm_20_10","1",1,2.5,1.84,2.17,1.005,6.0275,0.166735794276234
"25","Czm_20_10","1",1,5,1,1,0,6.0275,0
"26","Czm_20_10","1",1,10,1,1,0,6.0275,0
"27","Czm_20_10","1",1,20,1,1,0,6.0275,0
"28","Czm_20_10","1",2,0,6.94,6.69,5.815,6.0275,0.964744919120697
"29","Czm_20_10","1",2,0.01,7.01,7.17,6.09,6.0275,1.01036914143509
"30","Czm_20_10","1",2,0.1,6.43,6.57,5.5,6.0275,0.912484446287847
"31","Czm_20_10","1",2,0.5,2.4,2.61,1.505,6.0275,0.249688925756947
"32","Czm_20_10","1",2,1,2.61,2.27,1.44,6.0275,0.238905018664455
"33","Czm_20_10","1",2,2.5,1.56,1.59,0.575,6.0275,0.0953961012028204
"34","Czm_20_10","1",2,5,1,1,0,6.0275,0
"35","Czm_20_10","1",2,10,1,1,0,6.0275,0
"36","Czm_20_10","1",2,20,1,1,0,6.0275,0
"37","Czm_20_100","1",1,0,5.33,4.47,3.9,3.965,0.983606557377049
"38","Czm_20_100","1",1,0.01,5.44,5.22,4.33,3.965,1.09205548549811
"39","Czm_20_100","1",1,0.1,5.83,6.36,5.095,3.965,1.28499369482976
"40","Czm_20_100","1",1,0.5,2.57,3.24,1.905,3.965,0.480453972257251
"41","Czm_20_100","1",1,1,1.87,1.7,0.785,3.965,0.197982345523329
"42","Czm_20_100","1",1,2.5,1,1,0,3.965,0
"43","Czm_20_100","1",1,5,1,1,0,3.965,0
"44","Czm_20_100","1",1,10,1,1,0,3.965,0
"45","Czm_20_100","1",1,20,1,1,0,3.965,0
"46","Czm_20_100","1",2,0,5.46,4.6,4.03,3.965,1.01639344262295
"47","Czm_20_100","1",2,0.01,4.57,6.81,4.69,3.965,1.1828499369483
"48","Czm_20_100","1",2,0.1,8.78,9.24,8.01,3.965,2.02017654476671
"49","Czm_20_100","1",2,0.5,3.38,3.13,2.255,3.965,0.568726355611601
"50","Czm_20_100","1",2,1,2.69,2.35,1.52,3.965,0.383354350567465
"51","Czm_20_100","1",2,2.5,1,1,0,3.965,0
"52","Czm_20_100","1",2,5,1,1,0,3.965,0
"53","Czm_20_100","1",2,10,1,1,0,3.965,0
"54","Czm_20_100","1",2,20,1,1,0,3.965,0
"55","Czm_20_101","1",1,0,3.11,2.9,2.005,3.315,0.604826546003017
"56","Czm_20_101","1",1,0.01,7.67,7.82,6.745,3.315,2.03469079939668
"57","Czm_20_101","1",1,0.1,4.88,5.22,4.05,3.315,1.22171945701357
"58","Czm_20_101","1",1,0.5,1.5,1.22,0.36,3.315,0.108597285067873
"59","Czm_20_101","1",1,1,1,1,0,3.315,0
"60","Czm_20_101","1",1,2.5,1,1,0,3.315,0
"61","Czm_20_101","1",1,5,1,1,0,3.315,0
"62","Czm_20_101","1",1,10,1,1,0,3.315,0
"63","Czm_20_101","1",1,20,1,1,0,3.315,0
"64","Czm_20_101","1",2,0,5.46,5.79,4.625,3.315,1.39517345399698
"65","Czm_20_101","1",2,0.01,3.85,3.05,2.45,3.315,0.739064856711916
"66","Czm_20_101","1",2,0.1,4.98,4.27,3.625,3.315,1.09351432880845
"67","Czm_20_101","1",2,0.5,1.35,1.66,0.505,3.315,0.152337858220211
"68","Czm_20_101","1",2,1,1,1,0,3.315,0
"69","Czm_20_101","1",2,2.5,1,1,0,3.315,0
"70","Czm_20_101","1",2,5,1,1,0,3.315,0
"71","Czm_20_101","1",2,10,1,1,0,3.315,0
"72","Czm_20_101","1",2,20,1,1,0,3.315,0
"73","Czm_20_102","1",1,0,3.75,3.29,2.52,2.65,0.950943396226415
"74","Czm_20_102","1",1,0.01,6.27,6.37,5.32,2.65,2.00754716981132
"75","Czm_20_102","1",1,0.1,5.57,5.13,4.35,2.65,1.64150943396226
"76","Czm_20_102","1",1,0.5,2.1,2.82,1.46,2.65,0.550943396226415
"77","Czm_20_102","1",1,1,2,1.86,0.93,2.65,0.350943396226415
"78","Czm_20_102","1",1,2.5,1.54,1.6,0.57,2.65,0.215094339622642
"79","Czm_20_102","1",1,5,1,1,0,2.65,0
"80","Czm_20_102","1",1,10,1,1,0,2.65,0
"81","Czm_20_102","1",1,20,1,1,0,2.65,0
"82","Czm_20_102","1",2,0,3.67,3.89,2.78,2.65,1.04905660377358
"83","Czm_20_102","1",2,0.01,2.87,3.15,2.01,2.65,0.758490566037736
"84","Czm_20_102","1",2,0.1,5.61,5.41,4.51,2.65,1.70188679245283
"85","Czm_20_102","1",2,0.5,3.16,2.42,1.79,2.65,0.675471698113208
"86","Czm_20_102","1",2,1,1.79,1.55,0.67,2.65,0.252830188679245
"87","Czm_20_102","1",2,2.5,1.35,1.16,0.255,2.65,0.0962264150943396
"88","Czm_20_102","1",2,5,1,1,0,2.65,0
"89","Czm_20_102","1",2,10,1,1,0,2.65,0
"90","Czm_20_102","1",2,20,1,1,0,2.65,0
